trip_id,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,the_geom
8dad9894df59a697a7674fc0ddf8d42ce1871391,2021-01-31T23:45:00.000,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.96581197,-87.6558787862,POINT (-87.6558787862 41.96581197),000000000200000002C055E9FBDFCBF1CA4044F8DC6AD2835BC055E9F9EB0437A14044FB9FBA049E1F
098c74cc8e4fd2bf3d493e94b1b3348606902415,2021-01-31T23:45:00.000,41.9227606205,-87.6991553432,POINT (-87.6991553432 41.9227606205),41.9386661962,-87.7112105933,POINT (-87.7112105933 41.9386661962),000000000200000002C055ECBEF60D77884044F61D051F8AC6C055ED84796FB2B44044F82636C34516
7eda9e9e188538f947d03a38e40995c53914dc03,2021-01-31T23:45:00.000,41.8237128095,-87.6023504372,POINT (-87.6023504372 41.8237128095),41.8299223039,-87.6725026464,POINT (-87.6725026464 41.8299223039),000000000200000002C055E68CE8D920574044E96F6BDD0CA5C055EB0A488A30BC4044EA3AE4E0BC59
f3f105cfad74b74c49bf40cac5aaeb2f35970ba9,2021-01-31T23:45:00.000,41.8351179863,-87.6186777673,POINT (-87.6186777673 41.8351179863),41.9012069941,-87.6763559892,POINT (-87.6763559892 41.9012069941),000000000200000002C055E7986AA254364044EAE5256BBADDC055EB496AA184564044F35AC0334B01
f6bd5439e318a03918da442845ea868f8e6b1e3a,2021-01-31T23:45:00.000,41.7771962546,-87.6424975271,POINT (-87.6424975271 41.7771962546),41.795430631,-87.6964352325,POINT (-87.6964352325 41.795430631),000000000200000002C055E91EADF2A9F24044E37B2AB80A54C055EC926514D7A84044E5D0ABC130DA
92667cc4200764d559e6c8642f7269b6e557957f,2021-01-31T23:45:00.000,41.874005383,-87.6635175498,POINT (-87.6635175498 41.874005383),41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),000000000200000002C055EA7712502DA34044EFDF688C41A8C055E8881E6E7AE94044F3262977142B
652269f626eaf1693235ebed2dd7ce61734e9836,2021-01-31T23:45:00.000,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.96581197,-87.6558787862,POINT (-87.6558787862 41.96581197),000000000200000002C055E9FBDFCBF1CA4044F8DC6AD2835BC055E9F9EB0437A14044FB9FBA049E1F
0dba907a6d18d40f2cf17d3822eff568b778e929,2021-01-31T23:45:00.000,41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),000000000200000002C055F06311BE9B104044F1FF788BB8F9C055F06311BE9B104044F1FF788BB8F9
0d161a241a051a1480fdbc6789044339a796566a,2021-01-31T23:45:00.000,41.713148612,-87.6750753124,POINT (-87.6750753124 41.713148612),41.7174930361,-87.6488950721,POINT (-87.6488950721 41.7174930361),000000000200000002C055EB346F1546144044DB487426DD28C055E9877F324D204044DBD6CFD29421
b877153b46661b9810689d8c722c174dc8bef3e0,2021-01-31T23:45:00.000,41.874005383,-87.6635175498,POINT (-87.6635175498 41.874005383),41.874005383,-87.6635175498,POINT (-87.6635175498 41.874005383),000000000200000002C055EA7712502DA34044EFDF688C41A8C055EA7712502DA34044EFDF688C41A8
cb2efc3041848a3903a3ea79550bc3a47879c20b,2021-01-31T23:45:00.000,41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),000000000200000002C055F06311BE9B104044F1FF788BB8F9C055F06311BE9B104044F1FF788BB8F9
ac449b61e777afb95bf4885fc980e6818d1dd64c,2021-01-31T23:45:00.000,41.874005383,-87.6635175498,POINT (-87.6635175498 41.874005383),41.8502663663,-87.667569312,POINT (-87.667569312 41.8502663663),000000000200000002C055EA7712502DA34044EFDF688C41A8C055EAB974A2B69B4044ECD5873E12D9
1ef5b65c4f51bac29eed28c13ed4d99996c0fae0,2021-01-31T23:45:00.000,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.9227606205,-87.6991553432,POINT (-87.6991553432 41.9227606205),000000000200000002C055E8881E6E7AE94044F3262977142BC055ECBEF60D77884044F61D051F8AC6
e9f07b2a67d415197a2b078dcd8482595812a8bb,2021-01-31T23:45:00.000,41.7632467988,-87.6161341112,POINT (-87.6161341112 41.7632467988),41.7065878819,-87.6233665115,POINT (-87.6233665115 41.7065878819),000000000200000002C055E76EBDC463754044E1B21233CFB4C055E7E53CA7141A4044DA7178C24155
868380d3fddb6707fd2f8048005a1ad04d103ade,2021-01-31T23:45:00.000,42.001571027,-87.6950125892,POINT (-87.6950125892 42.001571027),42.0096228806,-87.6701668569,POINT (-87.6701668569 42.0096228806),000000000200000002C055EC7B16153B07404500337ABACB06C055EAE403874FE94045013B5292BC33
44506f945044259d41e62ae8dbf9aa6282e3e0b5,2021-01-31T23:45:00.000,41.9243470769,-87.7347397536,POINT (-87.7347397536 41.9243470769),41.9012069941,-87.6763559892,POINT (-87.6763559892 41.9012069941),000000000200000002C055EF05F9E3321E4044F6510148B827C055EB496AA184564044F35AC0334B01
