"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tip","additional_charges","trip_total","shared_trip_authorized","trips_pooled","pickup_centroid_latitude","pickup_centroid_longitude","pickup_centroid_location","dropoff_centroid_latitude","dropoff_centroid_longitude","dropoff_centroid_location"
"c39db5f6fedb14b15e7e0f80860ecc7b0d9df8dc","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","1146","11.0711",,,"28",,"12.5","0","3.1","15.6","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)",,,
"25f67e2859d102c673c6ed99619773e43611c17c","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","483","2.937",,,,"2","7.5","0","3.55","11.05","false","1",,,,"42.001571027","-87.6950125892","POINT (-87.6950125892 42.001571027)"
"3f69b8cc13491969e897c53bafc184bc810bcc5c","2021-02-28T21:45:00.000","2021-02-28T21:45:00.000","313","1.4093",,,"25","25","5","0","3.1","8.1","false","1","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)"
"f459e3bf9a5dfa0f2e8b1035431f553e90ff5a4f","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","607","4.6153",,,"8","7","10","0","3.1","13.1","false","1","41.899602111","-87.6333080367","POINT (-87.6333080367 41.899602111)","41.9226862843","-87.6494887289","POINT (-87.6494887289 41.9226862843)"
"f87bfd6a3f13df7263d7e6424966a850c20d6bed","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","812","4.1327",,,"44","43","10","0","3.97","13.97","false","1","41.7402057565","-87.6159695226","POINT (-87.6159695226 41.7402057565)","41.7615779081","-87.5727819867","POINT (-87.5727819867 41.7615779081)"
"c2ce684b0c150b0bb8d77837dc998d2463dacf93","2021-02-28T21:45:00.000","2021-02-28T21:45:00.000","590","2.2464","17031280100","17031081100","28","8","7.5","0","3.1","10.6","false","1","41.8853000224","-87.6428084655","POINT (-87.6428084655 41.8853000224)","41.9002212967","-87.6291051864","POINT (-87.6291051864 41.9002212967)"
"5222cd5a7f71cd1177e50f807e317a24c4143add","2021-02-28T21:45:00.000","2021-02-28T21:45:00.000","104","0.3631","17031310600","17031310600","31","31","2.5","0","3.1","5.6","false","1","41.8563332167","-87.6595642391","POINT (-87.6595642391 41.8563332167)","41.8563332167","-87.6595642391","POINT (-87.6595642391 41.8563332167)"
"e8529ddf2382b4d2f783748ad2c4328d429b9bfe","2021-02-28T21:45:00.000","2021-02-28T22:15:00.000","1686","26.3165",,,"76",,"42.5","0","13.38","55.88","false","1","41.9802643146","-87.913624596","POINT (-87.913624596 41.9802643146)",,,
"485c44574ae4c029df03bd6f1a651a20394397f4","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","832","8.7336",,,"10","21","12.5","0","3.8","16.3","false","1","41.9850151008","-87.8045320063","POINT (-87.8045320063 41.9850151008)","41.9386661962","-87.7112105933","POINT (-87.7112105933 41.9386661962)"
"01f0feb13aefa710d685461b8c72ef639e7707a5","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","691","5.7808",,,"51","73","12.5","0","5.18","17.68","false","1","41.6906333472","-87.5700582686","POINT (-87.5700582686 41.6906333472)","41.7174930361","-87.6488950721","POINT (-87.6488950721 41.7174930361)"
"4edd1170ec58d84ba701ade8188a3c4c9f53bb1e","2021-02-28T21:45:00.000","2021-02-28T22:15:00.000","1699","17.3945",,,"45",,"20","0","4.73","24.73","false","1","41.7441995348","-87.5863483178","POINT (-87.5863483178 41.7441995348)",,,
"795656b647ab073b1d5e9e41e241c47df86f828a","2021-02-28T21:45:00.000","2021-02-28T22:00:00.000","646","3.035",,,"75",,"5","0","6.06","11.059999999999999","false","1","41.6897299145","-87.6690544032","POINT (-87.6690544032 41.6897299145)",,,
